[jue 27/11/2025 13:15:51,22] venv activado 
[jue 27/11/2025 13:16:00,38] Servidor iniciado 
[jue 27/11/2025 13:20:12,56] venv activado 
[jue 27/11/2025 13:20:21,29] Servidor iniciado 
[jue 27/11/2025 13:23:23,17] venv activado 
[jue 27/11/2025 13:23:39,09] Servidor iniciado 
[jue 27/11/2025 13:24:06,24] venv activado 
[jue 27/11/2025 13:24:14,48] Servidor iniciado 
[jue 27/11/2025 13:34:09,00] venv activado 
[jue 27/11/2025 13:34:16,94] Servidor iniciado 
[jue 27/11/2025 13:34:51,34] venv activado 
[jue 27/11/2025 13:34:51,35] Servidor iniciado 
